id,run_mode_id,operator,machine,part_number,job,ideal_units_per_hour,ideal_cycle_time_seconds,start_date,end_date,active,notes,cavity_count,entry_mode,machine_cycle_time,created_by,created_at,updated_by,updated_at
31,1,Any,INJ,7712/20097201,SO# 576200 / 576200,1583.86801099908,2.27291666666667,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.261443,,2026-02-27 01:21:45.261625
32,1,Any,CMP,10860-1,SO# 578940 / 578940,10751.2832477835,0.33484375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.261879,,2026-02-27 01:21:45.262028
33,1,Any,CMP,10873-1,SO# 578950 / 578950,249.001147358228,14.4577647058824,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.262411,,2026-02-27 01:21:45.262574
34,1,Any,600T Comp,11636-2,SO# 579280 / 579280,35.1219512195122,102.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.262852,,2026-02-27 01:21:45.263015
35,1,Any,500T,12987-72,SO# 579970 / 579970,288.0,12.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.263304,,2026-02-27 01:21:45.263436
36,1,Any,Injection,SS-CK6017-060,SO# 580410 / 580410,30.0,120.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.263668,,2026-02-27 01:21:45.263788
37,1,Any,Assembly,SS-CK6017-300,SO# 580420 / 580420,42.5000000014757,84.70588235,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.264004,,2026-02-27 01:21:45.264134
38,1,Any,Inspection,21377-H98A0A,SO# 600670,187.5,19.2,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.264378,,2026-02-27 01:21:45.264494
39,1,Any,Trim,A62-6082,SO# 610010 / 610010,187.5,19.2,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.264710,,2026-02-27 01:21:45.264830
40,1,Any,ASY,A62-6082,SO# 610011 / 610011,0.0,0.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.265046,,2026-02-27 01:21:45.265162
